Date,Description,Service Fee,Debit,Credit,Balance,Category,Amount
,OPENING BALANCE,,,,5157.75,,0.0
22/09/2025,RECHARGE-ME,,20.0,,5137.75,Utilities,20.0
22/09/2025,MASCOM ARTIME FEE,,0.57,,5137.18,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5127.18,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5126.61,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5116.61,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5116.04,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5106.04,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5105.47,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5095.47,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5094.9,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5084.9,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5084.33,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5074.33,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5073.76,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5063.76,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5063.19,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5053.19,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5052.62,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5042.62,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5042.05,Bank Fees,0.57
22/09/2025,FEE-SMS-1-522892289F,,0.29,,5041.76,BanFees,0.29
22/09/2025,RECHARGE-ME,,10.0,,5031.76,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5031.19,Bank Fees,0.57
22/09/2025,RECHARGE-ME,,10.0,,5021.19,Utilities,10.0
22/09/2025,ORANGE AIRTIME FEE,,0.57,,5020.62,Bank Fees,0.57
22/09/2025,BIUST PALAPYE BW,,,,,,0.0
,BIUST PALAPYE,,200.0,,4820.62,Cash,200.0
22/09/2025,ATM WITHDRAWAL FEES (OTHER),,6.6,,4814.02,Bank Fees,6.6
22/09/2025,BUS RANK BUS STATION GABORONE BW,,,,,,0.0
,BUS RANK BUS STATION GABORONE,,100.0,,4714.02,Cash,100.0
22/09/2025,ATM WITHDRAWAL FEES (OTHER),,6.6,,4707.42,Bank Fees,6.6
23/09/2025,FEE-SMS-11-5229P314A,,3.19,,4704.23,Bank Fees,3.19
24/09/2025,SHANAMA ENTERPRISES (PTGABORONE BW,,,,,,0.0
,SHANAMA ENTERPRISES (PTGABORONE,,52.65,,4651.58,Groceries,52.65
25/09/2025,ORANGE AIRTIME REFUND,,,,,,0.0
,(CHK-8001285863),,,110.0,4761.58,,110.0
26/09/2025,FEE-SMS-1-523240273M,,0.29,,4761.29,Bank Fees,0.29
27/09/2025,CR FROM 0062916694848: SAVINGS,,,500.0,5261.29,,500.0
30/09/2025,CAPITALISED INTEREST CREDIT,,,7.59,5268.88,,7.59
02/10/2025,FEE-SMS-1-523438431S,,0.29,,5268.59,Bank Fees,0.29
02/10/2025,TLOKWENG BORDER GATE GABORONE BW,,,,,,0.0
,TLOKWENG BORDER GATE GABORONE,,500.0,,4768.59,Cash,500.0
02/10/2025,ATM WITHDRAWAL FEES (OTHER),,6.6,,4761.99,Bank Fees,6.6
02/10/2025,CHOPPIES TLOKWEN1022169BATSE BW,,,,,,0.0
,CHOPPIES TLOKWEN1022169BATSE,,49.95,,4712.04,Groceries,49.95
02/10/2025,GABORONE THE FIELDS M GABORONE BW,,,,,,0.0
,GABORONE THE FIELDS M GABORONE,,300.0,,4412.04,Cash,300.0
02/10/2025,ATM WITHDRAWAL FEES (OTHER),,6.6,,4405.44,Bank Fees,6.6
02/10/2025,CLICKS 1642 RAILPARK GABORONE BW,,,,,,0.0
,CLICKS 1642 RAILPARK GABORONE,,276.96,,4128.48,Groceries,276.96
02/10/2025,DEBONAIRS PIZZA TLOKWENTLOKWENG BW,,,,,,0.0
,DEBONAIRS PIZZA TLOKWENTLOKWENG,,82.8,,4045.68,Dining,82.8
02/10/2025,RECHARGE-ME,,20.0,,4025.68,Utilities,20.0
02/10/2025,ORANGE AIRTIME FEE,,0.57,,4025.11,Bank Fees,0.57
02/10/2025,SPOTIFY STOCKHOLM SE,,,,,,0.0
,SPOTIFY STOCKHOLM,,24.68,,4000.43,Entertainment,24.68
02/10/2025,FEE-SMS-1-5235T400L,,0.29,,4000.14,Bank Fees,0.29
